year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
2010,Alamo Square,291.18294547229100,372560,1239
2010,Anza Vista,267.9325826799480,372560,1239
2010,Bayview,170.09866536400100,372560,1239
2010,Buena Vista Park,347.39491940371100,372560,1239
2010,Central Richmond,319.0276225530690,372560,1239
2010,Central Sunset,418.1724927089680,372560,1239
2010,Corona Heights,369.3593380041370,372560,1239
2010,Cow Hollow,569.3799679261330,372560,1239
2010,Croker Amazon,165.64573006507900,372560,1239
2010,Diamond Heights,456.9308221979010,372560,1239
2010,Downtown ,241.80455206485100,372560,1239
2010,Eureka Valley/Dolores Heights,403.1183126490990,372560,1239
2010,Excelsior,364.9283357085180,372560,1239
2010,Financial District North,401.7499665916540,372560,1239
2010,Financial District South,162.82121004772400,372560,1239
2010,Forest Knolls,209.04932663469500,372560,1239
2010,Glen Park,715.5864380979740,372560,1239
2010,Golden Gate Heights,551.8011188234770,372560,1239
2010,Haight Ashbury,254.47377914469100,372560,1239
2010,Hayes Valley,272.28497956385500,372560,1239
2010,Hunters Point,170.62491987132700,372560,1239
2010,Ingleside ,275.0566856099090,372560,1239
2010,Inner Mission,238.35002040677700,372560,1239
2010,Inner Parkside,199.7020037821990,372560,1239
2010,Inner Richmond,285.8223584886830,372560,1239
2010,Inner Sunset,275.76972957461000,372560,1239
2010,Jordan Park/Laurel Heights,419.8878118764660,372560,1239
2010,Lake --The Presidio,320.79691049204600,372560,1239
2010,Lone Mountain,398.4588759923030,372560,1239
2010,Lower Pacific Heights,374.05763601016800,372560,1239
2010,Marina,387.392839476922,372560,1239
2010,Miraloma Park,680.6087291389300,372560,1239
2010,Mission Bay,489.80537777998500,372560,1239
2010,Mission Dolores,257.9879986350070,372560,1239
2010,Mission Terrace,262.87602564056400,372560,1239
2010,Nob Hill,307.67747674427800,372560,1239
2010,Noe Valley,381.1384451470530,372560,1239
2010,Oceanview,282.11967050133600,372560,1239
2010,Outer Parkside,432.1952921124560,372560,1239
2010,Outer Richmond ,338.12619999607000,372560,1239
2010,Outer Sunset,368.31155203937300,372560,1239
2010,Pacific Heights,496.5160141469500,372560,1239
2010,Park North,326.01715041025100,372560,1239
2010,Parkside,274.1667415866910,372560,1239
2010,Parnassus/Ashbury Heights,434.25500394602600,372560,1239
2010,Portola,302.15611319728900,372560,1239
2010,Potrero Hill,491.45000385678600,372560,1239
2010,Presidio Heights,549.4179312485750,372560,1239
2010,Russian Hill,362.3482239131210,372560,1239
2010,South Beach,1037.0997886617900,372560,1239
2010,South of Market,401.2959764896400,372560,1239
2010,Sunnyside,542.5316819894510,372560,1239
2010,Telegraph Hill,524.7935090952680,372560,1239
2010,Twin Peaks,331.555996145607,372560,1239
2010,Union Square District,569.1934475267740,372560,1239
2010,Van Ness/ Civic Center,108.0129268765050,372560,1239
2010,West Portal,392.30076417058300,372560,1239
2010,Western Addition,215.56913431487600,372560,1239
2010,Yerba Buena,333.1267738419390,372560,1239
2011,Alamo Square,272.5273101795260,374507,1530
2011,Bayview,172.54056243085600,374507,1530
2011,Bernal Heights ,471.9217320911280,374507,1530
2011,Buena Vista Park,171.7723466866040,374507,1530
2011,Central Richmond,261.6638003416520,374507,1530
2011,Central Sunset,391.426449729962,374507,1530
2011,Clarendon Heights,520.718167530543,374507,1530
2011,Corona Heights,222.56784804769600,374507,1530
2011,Cow Hollow,390.5956530284180,374507,1530
2011,Croker Amazon,145.85338027594100,374507,1530
2011,Diamond Heights,382.35226106405900,374507,1530
2011,Downtown ,234.28162351035400,374507,1530
2011,Duboce Triangle,295.77937822922700,374507,1530
2011,Eureka Valley/Dolores Heights,413.16280403427500,374507,1530
2011,Financial District North,281.31290435728300,374507,1530
2011,Financial District South,354.66555789282800,374507,1530
2011,Glen Park,457.41388429762500,374507,1530
2011,Golden Gate Heights,348.92970004124900,374507,1530
2011,Haight Ashbury,392.3534509732680,374507,1530
2011,Hayes Valley,280.73063309393100,374507,1530
2011,Ingleside ,356.7090091359040,374507,1530
2011,Ingleside Heights,198.01587292452000,374507,1530
2011,Inner Mission,283.17495073168800,374507,1530
2011,Inner Richmond,360.03727240448300,374507,1530
2011,Inner Sunset,302.60448945564100,374507,1530
2011,Jordan Park/Laurel Heights,610.7666631577350,374507,1530
2011,Lake --The Presidio,330.10889435237300,374507,1530
2011,Lone Mountain,313.33845823084700,374507,1530
2011,Lower Pacific Heights,303.54419971619000,374507,1530
2011,Marina,390.8184689562140,374507,1530
2011,Miraloma Park,414.6760647760380,374507,1530
2011,Mission Bay,506.95217450146800,374507,1530
2011,Mission Dolores,293.4042461148190,374507,1530
2011,Nob Hill,340.6425969783880,374507,1530
2011,Noe Valley,373.9786870675520,374507,1530
2011,North Beach,290.9210327099610,374507,1530
2011,North Waterfront,346.9611600156020,374507,1530
2011,Outer Mission,142.14256751724600,374507,1530
2011,Outer Parkside,241.9456564918160,374507,1530
2011,Outer Richmond ,271.09013956932800,374507,1530
2011,Outer Sunset,297.2455578459470,374507,1530
2011,Pacific Heights,509.0214800287400,374507,1530
2011,Park North,289.60560009472300,374507,1530
2011,Parkside,217.55878684527900,374507,1530
2011,Parnassus/Ashbury Heights,466.61789765236500,374507,1530
2011,Portola,208.1679967483860,374507,1530
2011,Potrero Hill,503.13850456030500,374507,1530
2011,Presidio Heights,493.814917282618,374507,1530
2011,Russian Hill,448.32010421494000,374507,1530
2011,South Beach,388.64433678153900,374507,1530
2011,South of Market,337.9141346436500,374507,1530
2011,Sunnyside,437.1642994919770,374507,1530
2011,Telegraph Hill,483.40577251780000,374507,1530
2011,Twin Peaks,284.56696642681600,374507,1530
2011,Union Square District,302.1232528096910,374507,1530
2011,Van Ness/ Civic Center,384.23680203579300,374507,1530
2011,Western Addition,227.4189808649450,374507,1530
2011,Westwood Highlands,320.0743330547440,374507,1530
2011,Yerba Buena,438.86054508174800,374507,1530
2012,Alamo Square,183.09931693145700,376454,2324
2012,Anza Vista,344.4909139677920,376454,2324
2012,Bayview,165.7980623916540,376454,2324
2012,Bernal Heights ,368.2665607883850,376454,2324
2012,Buena Vista Park,338.60116351046300,376454,2324
2012,Central Richmond,279.0301399218750,376454,2324
2012,Central Sunset,334.4878725198490,376454,2324
2012,Corona Heights,356.79481359087300,376454,2324
2012,Cow Hollow,644.8183066758800,376454,2324
2012,Croker Amazon,415.0903401095620,376454,2324
2012,Diamond Heights,366.9954275112730,376454,2324
2012,Downtown ,269.109528813633,376454,2324
2012,Duboce Triangle,452.6600224298410,376454,2324
2012,Eureka Valley/Dolores Heights,524.8134180834780,376454,2324
2012,Excelsior,371.0302152741690,376454,2324
2012,Financial District North,286.35198206738900,376454,2324
2012,Financial District South,613.8430658201440,376454,2324
2012,Forest Knolls,434.63234651328000,376454,2324
2012,Haight Ashbury,418.83037933269500,376454,2324
2012,Hayes Valley,306.3779578647350,376454,2324
2012,Inner Mission,336.8259501844990,376454,2324
2012,Inner Richmond,373.4668636470580,376454,2324
2012,Inner Sunset,325.8289204181610,376454,2324
2012,Jordan Park/Laurel Heights,383.1503960980960,376454,2324
2012,Lake --The Presidio,380.5214843069480,376454,2324
2012,Lone Mountain,545.9801982412760,376454,2324
2012,Lower Pacific Heights,396.171112391617,376454,2324
2012,Marina,445.2150955424530,376454,2324
2012,Merced Heights,421.14124470619100,376454,2324
2012,Midtown Terrace,397.9391288956360,376454,2324
2012,Miraloma Park,756.1923725098500,376454,2324
2012,Mission Bay,689.5233123659040,376454,2324
2012,Mission Dolores,320.9599230279340,376454,2324
2012,Nob Hill,307.78311439850700,376454,2324
2012,Noe Valley,428.0219127043750,376454,2324
2012,North Beach,517.1734931165630,376454,2324
2012,North Waterfront,390.3838567783600,376454,2324
2012,Oceanview,442.24265696115700,376454,2324
2012,Outer Mission,221.881138746669,376454,2324
2012,Outer Parkside,312.8339843623910,376454,2324
2012,Outer Richmond ,338.63301173022200,376454,2324
2012,Outer Sunset,413.05871935195200,376454,2324
2012,Pacific Heights,586.2182148097700,376454,2324
2012,Park North,288.0785187599690,376454,2324
2012,Parkside,378.27387843874800,376454,2324
2012,Parnassus/Ashbury Heights,515.9210732061050,376454,2324
2012,Portola,351.04322569213100,376454,2324
2012,Potrero Hill,466.6478402167170,376454,2324
2012,Presidio Heights,426.60859207171300,376454,2324
2012,Russian Hill,414.16272789686800,376454,2324
2012,South of Market,463.8098989043550,376454,2324
2012,Telegraph Hill,465.80212163177400,376454,2324
2012,Twin Peaks,304.89964760284100,376454,2324
2012,Union Square District,445.1967876448790,376454,2324
2012,Van Ness/ Civic Center,345.9580403883180,376454,2324
2012,West Portal,325.7954150643370,376454,2324
2012,Western Addition,274.3384600486490,376454,2324
2012,Yerba Buena,491.8140030500950,376454,2324
2013,Alamo Square,387.7941437968130,378401,2971
2013,Anza Vista,453.3404982986990,378401,2971
2013,Bayview,259.54716259308000,378401,2971
2013,Bernal Heights ,630.8973025513740,378401,2971
2013,Buena Vista Park,455.2180887853930,378401,2971
2013,Central Richmond,343.0542609770140,378401,2971
2013,Central Sunset,330.73643101918900,378401,2971
2013,Clarendon Heights,453.7716045219720,378401,2971
2013,Cow Hollow,707.4028088888210,378401,2971
2013,Croker Amazon,223.11583290346000,378401,2971
2013,Diamond Heights,533.6884470076520,378401,2971
2013,Downtown ,361.4546919822120,378401,2971
2013,Eureka Valley/Dolores Heights,608.694967227678,378401,2971
2013,Excelsior,289.749665708438,378401,2971
2013,Financial District North,274.45794363223400,378401,2971
2013,Glen Park,458.7213317825410,378401,2971
2013,Golden Gate Heights,956.1841219171130,378401,2971
2013,Haight Ashbury,478.49563657300900,378401,2971
2013,Hayes Valley,491.5892613631570,378401,2971
2013,Inner Mission,377.51801557551800,378401,2971
2013,Inner Richmond,302.9673770284060,378401,2971
2013,Inner Sunset,435.5456667813490,378401,2971
2013,Jordan Park/Laurel Heights,584.0737147409250,378401,2971
2013,Lake --The Presidio,568.6511487607910,378401,2971
2013,Lone Mountain,376.08359802951600,378401,2971
2013,Lower Pacific Heights,548.0466890413600,378401,2971
2013,Marina,655.1980415945780,378401,2971
2013,Midtown Terrace,703.0815676877950,378401,2971
2013,Mission Bay,,378401,2971
2013,Mission Dolores,427.16626614177600,378401,2971
2013,Mission Terrace,591.4020223180050,378401,2971
2013,Nob Hill,466.0264878531050,378401,2971
2013,Noe Valley,615.0639297056520,378401,2971
2013,North Beach,393.7173353455040,378401,2971
2013,North Waterfront,483.16880334240100,378401,2971
2013,Outer Parkside,372.24198616912000,378401,2971
2013,Outer Richmond ,332.40781536886500,378401,2971
2013,Outer Sunset,322.0822144332410,378401,2971
2013,Pacific Heights,503.8992613300540,378401,2971
2013,Park North,512.6307219919140,378401,2971
2013,Parkside,364.6246530241700,378401,2971
2013,Parnassus/Ashbury Heights,425.6422553308100,378401,2971
2013,Portola,235.99759251727400,378401,2971
2013,Potrero Hill,598.704795328917,378401,2971
2013,Presidio Heights,512.8402484358220,378401,2971
2013,Russian Hill,506.22752218972000,378401,2971
2013,South of Market,420.822184596571,378401,2971
2013,Sunnyside,505.83481143735100,378401,2971
2013,Telegraph Hill,653.3116166908640,378401,2971
2013,Twin Peaks,414.43569251368100,378401,2971
2013,Union Square District,1290.472106646640,378401,2971
2013,Van Ness/ Civic Center,285.0095060630080,378401,2971
2013,Visitacion Valley,293.2983722057750,378401,2971
2013,West Portal,588.0747967826300,378401,2971
2013,Western Addition,217.08906895403500,378401,2971
2013,Westwood Highlands,747.3335378171590,378401,2971
2013,Yerba Buena,753.0114133184370,378401,2971
2014,Alamo Square,484.4435521706780,380348,3528
2014,Anza Vista,620.4414065565540,380348,3528
2014,Bayview,254.9586616327390,380348,3528
2014,Bernal Heights ,544.5469286452770,380348,3528
2014,Central Richmond,423.95272693478200,380348,3528
2014,Central Sunset,456.2419957897520,380348,3528
2014,Corona Heights,888.1821435177140,380348,3528
2014,Cow Hollow,691.8654114838460,380348,3528
2014,Downtown ,428.72653267991700,380348,3528
2014,Duboce Triangle,630.3115352378670,380348,3528
2014,Eureka Valley/Dolores Heights,728.9797158498740,380348,3528
2014,Excelsior,358.3052387223770,380348,3528
2014,Financial District North,409.9438351783920,380348,3528
2014,Financial District South,694.4181461347430,380348,3528
2014,Glen Park,553.5627522522700,380348,3528
2014,Golden Gate Heights,567.3400104586140,380348,3528
2014,Haight Ashbury,496.5510012122900,380348,3528
2014,Hayes Valley,428.9237926791120,380348,3528
2014,Ingleside ,647.6496334575520,380348,3528
2014,Inner Mission,464.17584368800900,380348,3528
2014,Inner Parkside,597.200528047448,380348,3528
2014,Inner Richmond,430.93963631616300,380348,3528
2014,Inner Sunset,470.8535298670650,380348,3528
2014,Jordan Park/Laurel Heights,426.78638118475100,380348,3528
2014,Lake --The Presidio,432.9627229749630,380348,3528
2014,Lone Mountain,317.22191943039500,380348,3528
2014,Lower Pacific Heights,716.3765095625200,380348,3528
2014,Marina,642.838478220973,380348,3528
2014,Merced Heights,528.7265413888830,380348,3528
2014,Miraloma Park,1267.7662026328800,380348,3528
2014,Mission Bay,220.11108719171100,380348,3528
2014,Mission Dolores,642.2195925518150,380348,3528
2014,Mission Terrace,300.1873092016620,380348,3528
2014,Nob Hill,478.44335175268500,380348,3528
2014,Noe Valley,654.801499892284,380348,3528
2014,North Waterfront,379.92536172660700,380348,3528
2014,Outer Parkside,650.963515967709,380348,3528
2014,Outer Richmond ,401.93502221765300,380348,3528
2014,Outer Sunset,490.3635828672640,380348,3528
2014,Pacific Heights,824.6586936349590,380348,3528
2014,Park North,371.92424516843300,380348,3528
2014,Parkside,446.2392452904570,380348,3528
2014,Parnassus/Ashbury Heights,773.4061347806700,380348,3528
2014,Portola,538.2046985772840,380348,3528
2014,Potrero Hill,1045.2015459222700,380348,3528
2014,Presidio Heights,603.4509968798570,380348,3528
2014,Russian Hill,714.2220737504070,380348,3528
2014,Silver Terrace,170.2925485152070,380348,3528
2014,South Beach,524.6293121403910,380348,3528
2014,South of Market,1119.8388773148000,380348,3528
2014,Sunnyside,493.45560489574000,380348,3528
2014,Telegraph Hill,708.1930316849230,380348,3528
2014,Twin Peaks,562.9112337982450,380348,3528
2014,Union Square District,558.2711194060470,380348,3528
2014,Van Ness/ Civic Center,475.39318681250700,380348,3528
2014,Visitacion Valley,282.025468300165,380348,3528
2014,West Portal,687.7829633004550,380348,3528
2014,Western Addition,429.4883174233180,380348,3528
2014,Westwood Park,742.9797231632550,380348,3528
2014,Yerba Buena,479.9237488133090,380348,3528
2015,Alamo Square,602.1158769435000,382295,3739
2015,Anza Vista,465.6862745098040,382295,3739
2015,Bayview Heights,590.7928388746800,382295,3739
2015,Bernal Heights ,458.00429934010800,382295,3739
2015,Buena Vista Park,551.6956218496260,382295,3739
2015,Central Richmond,473.16381496171300,382295,3739
2015,Central Sunset,453.37937707089700,382295,3739
2015,Corona Heights,1100.7911936704500,382295,3739
2015,Cow Hollow,598.6205414959000,382295,3739
2015,Croker Amazon,301.61864706270700,382295,3739
2015,Downtown ,485.8868855757770,382295,3739
2015,Duboce Triangle,631.64568632801,382295,3739
2015,Eureka Valley/Dolores Heights,790.1803690820190,382295,3739
2015,Excelsior,414.35585647200100,382295,3739
2015,Financial District North,694.358566653677,382295,3739
2015,Financial District South,453.4330812935200,382295,3739
2015,Glen Park,612.1061563311460,382295,3739
2015,Golden Gate Heights,772.7128362001240,382295,3739
2015,Haight Ashbury,574.2740565313100,382295,3739
2015,Hayes Valley,536.557101875324,382295,3739
2015,Hunters Point,,382295,3739
2015,Ingleside ,192.16524813774400,382295,3739
2015,Inner Mission,435.9007753824160,382295,3739
2015,Inner Parkside,762.5272331154680,382295,3739
2015,Inner Richmond,493.6155576333690,382295,3739
2015,Inner Sunset,639.1464438694400,382295,3739
2015,Jordan Park/Laurel Heights,576.4579094375950,382295,3739
2015,Lake --The Presidio,426.6849522707300,382295,3739
2015,Lone Mountain,918.2882682038710,382295,3739
2015,Lower Pacific Heights,800.0388650775140,382295,3739
2015,Marina,1132.8373605554500,382295,3739
2015,Mission Dolores,571.7557085689910,382295,3739
2015,Mission Terrace,583.8486362312670,382295,3739
2015,Nob Hill,529.847319131393,382295,3739
2015,Noe Valley,544.6002639104150,382295,3739
2015,North Beach,448.86919667679200,382295,3739
2015,North Waterfront,890.9095931764140,382295,3739
2015,Oceanview,265.9298265032700,382295,3739
2015,Outer Mission,564.6874764662280,382295,3739
2015,Outer Parkside,652.2879690318530,382295,3739
2015,Outer Richmond ,438.46778741967500,382295,3739
2015,Outer Sunset,357.8946922464000,382295,3739
2015,Pacific Heights,910.1876901656900,382295,3739
2015,Park North,616.5723883169860,382295,3739
2015,Parkside,,382295,3739
2015,Parnassus/Ashbury Heights,605.3433249358950,382295,3739
2015,Potrero Hill,821.3009904764870,382295,3739
2015,Presidio Heights,,382295,3739
2015,Russian Hill,793.2619915605260,382295,3739
2015,South of Market,717.0825412171870,382295,3739
2015,Sunnyside,439.7498835483720,382295,3739
2015,Telegraph Hill,996.9902204858650,382295,3739
2015,Twin Peaks,417.3353789228000,382295,3739
2015,Union Square District,2258.702831998360,382295,3739
2015,Van Ness/ Civic Center,677.8382318281800,382295,3739
2015,Visitacion Valley,302.2218727063020,382295,3739
2015,Western Addition,481.4692442739420,382295,3739
2015,Yerba Buena,963.5226061641270,382295,3739
2016,Alamo Square,340.98183523167000,384242,4390
2016,Anza Vista,88.40151094606410,384242,4390
2016,Bernal Heights ,986.8421052631580,384242,4390
2016,Buena Vista Park,851.4014053492670,384242,4390
2016,Central Richmond,661.0644257703080,384242,4390
2016,Central Sunset,581.3708750724590,384242,4390
2016,Cow Hollow,1059.0656015492600,384242,4390
2016,Croker Amazon,566.7011760342160,384242,4390
2016,Downtown ,718.7768297452350,384242,4390
2016,Eureka Valley/Dolores Heights,1026.7911075237500,384242,4390
2016,Excelsior,534.2262501283430,384242,4390
2016,Financial District North,,384242,4390
2016,Glen Park,945.5665024630540,384242,4390
2016,Haight Ashbury,531.8350322320710,384242,4390
2016,Hayes Valley,175.06606919629100,384242,4390
2016,Ingleside Heights,571.5799833446890,384242,4390
2016,Inner Mission,647.7704471840340,384242,4390
2016,Inner Parkside,518.1126504655920,384242,4390
2016,Inner Richmond,403.31113221139000,384242,4390
2016,Inner Sunset,445.9238282688500,384242,4390
2016,Jordan Park/Laurel Heights,704.5664189758040,384242,4390
2016,Lower Pacific Heights,636.4307703489130,384242,4390
2016,Marina,431.9446020235900,384242,4390
2016,Merced Heights,1416.6666666666700,384242,4390
2016,Mission Bay,924.5691159025890,384242,4390
2016,Mission Terrace,879.0170132325140,384242,4390
2016,Nob Hill,777.0083145338550,384242,4390
2016,Noe Valley,799.4956512788840,384242,4390
2016,North Beach,407.5533215595710,384242,4390
2016,Outer Mission,40.7726253518439,384242,4390
2016,Outer Parkside,732.7206841423810,384242,4390
2016,Outer Richmond ,1196.645436923930,384242,4390
2016,Outer Sunset,510.5769072143790,384242,4390
2016,Pacific Heights,996.3893635634030,384242,4390
2016,Park North,211.3013698600660,384242,4390
2016,Parnassus/Ashbury Heights,1207.997484708170,384242,4390
2016,Potrero Hill,707.6516094320910,384242,4390
2016,Presidio Heights,1465.9685863874300,384242,4390
2016,Russian Hill,1024.3398771365200,384242,4390
2016,South of Market,531.1363737279740,384242,4390
2016,Sunnyside,751.1737089201880,384242,4390
2016,Telegraph Hill,903.0497705987850,384242,4390
2016,Twin Peaks,970.0854700854700,384242,4390
2016,Van Ness/ Civic Center,552.6025671312700,384242,4390
2016,Visitacion Valley,328.31900668576900,384242,4390
2016,Westwood Park,631.1954258724090,384242,4390